epoch,loss,L_KD,L_CE,C,T,S,lambda
1,4.876478433609009,0.004710164153948426,4.876675844192505,1.0,4.039052873849869e-05,2.3655593395233154e-05,4.038957195007242e-05
1,4.8657004833221436,0.005001130259849808,4.865898452438675,1.0,4.066506049016139e-05,2.3584474216807973e-05,4.0664096705622035e-05
