regime,seed,epoch,eval_L_CE
student_alone,0,1.0,6.254144668579102
student_alone,0,2.0,5.804267406463623
student_alone,0,3.0,5.521721363067627
student_alone,0,4.0,5.413598537445068
student_alone,0,5.0,5.387997627258301
student_alone,0,6.0,5.442509174346924
student_alone,0,7.0,5.5226826667785645
student_alone,0,8.0,5.638528823852539
student_alone,1,1.0,6.449317455291748
student_alone,1,2.0,5.898531913757324
student_alone,1,3.0,5.687740325927734
student_alone,1,4.0,5.5728440284729
student_alone,1,5.0,5.5271759033203125
student_alone,1,6.0,5.597980976104736
student_alone,1,7.0,5.657263278961182
student_alone,1,8.0,5.826631546020508
student_alone,2,1.0,6.327229022979736
student_alone,2,2.0,5.890960693359375
student_alone,2,3.0,5.660129547119141
student_alone,2,4.0,5.511904239654541
student_alone,2,5.0,5.519725799560547
student_alone,2,6.0,5.522999286651611
student_alone,2,7.0,5.656903266906738
hinton_kd,0,1.0,3.499873104095459
hinton_kd,0,2.0,2.2455414009094237
hinton_kd,0,3.0,1.8879281282424927
hinton_kd,0,4.0,1.5355706596374512
hinton_kd,0,5.0,1.4384362936019897
hinton_kd,0,6.0,1.382046730518341
hinton_kd,0,7.0,1.357885594367981
hinton_kd,0,8.0,1.3223245120048523
hinton_kd,0,9.0,1.331890742778778
hinton_kd,0,10.0,1.2780668973922729
hinton_kd,0,11.0,1.2694370365142822
hinton_kd,0,12.0,1.2557267117500306
hinton_kd,0,13.0,1.2156241965293884
hinton_kd,0,14.0,1.2165560245513916
hinton_kd,0,15.0,1.1812174248695373
hinton_kd,0,16.0,1.1995750975608825
hinton_kd,0,17.0,1.1769355201721192
hinton_kd,0,18.0,1.175798807144165
hinton_kd,0,19.0,1.1634168815612793
hinton_kd,0,20.0,1.1721965861320496
hinton_kd,1,1.0,3.634419722557068
hinton_kd,1,2.0,2.498375949859619
hinton_kd,1,3.0,1.9057092201709747
hinton_kd,1,4.0,1.731469875574112
hinton_kd,1,5.0,1.526414589881897
hinton_kd,1,6.0,1.5356375515460967
hinton_kd,1,7.0,1.4727000987529755
hinton_kd,1,8.0,1.4206291222572327
hinton_kd,1,9.0,1.4527744549512862
hinton_kd,1,10.0,1.4177036678791046
hinton_kd,1,11.0,1.3986094069480897
hinton_kd,1,12.0,1.4325530624389649
hinton_kd,1,13.0,1.3436880469322205
hinton_kd,1,14.0,1.3648039090633393
hinton_kd,1,15.0,1.3745854967832565
hinton_kd,1,16.0,1.3357725900411606
hinton_kd,1,17.0,1.328519093990326
hinton_kd,1,18.0,1.3380341923236847
hinton_kd,1,19.0,1.3244895642995835
hinton_kd,1,20.0,1.325339325070381
hinton_kd,2,1.0,3.8086415195465086
hinton_kd,2,2.0,2.3447779846191406
hinton_kd,2,3.0,1.932630410194397
hinton_kd,2,4.0,1.6502174961566924
hinton_kd,2,5.0,1.6252498412132264
hinton_kd,2,6.0,1.537974441051483
hinton_kd,2,7.0,1.4763422989845276
hinton_kd,2,8.0,1.4458843171596527
hinton_kd,2,9.0,1.4214268791675568
hinton_kd,2,10.0,1.4230681443214417
hinton_kd,2,11.0,1.4062992149591447
hinton_kd,2,12.0,1.393414524793625
hinton_kd,2,13.0,1.4144220811128616
hinton_kd,2,14.0,1.3675311678647994
hinton_kd,2,15.0,1.3461911404132842
hinton_kd,2,16.0,1.3414214593172074
hinton_kd,2,17.0,1.3465723073482514
hinton_kd,2,18.0,1.3207093805074692
hinton_kd,2,19.0,1.316803235411644
hinton_kd,2,20.0,1.3168377649784089
multi_teacher_fixed,0,1.0,2.0245730538333437
multi_teacher_fixed,0,2.0,1.0825734600286108
multi_teacher_fixed,0,3.0,0.9019264313235492
multi_teacher_fixed,0,4.0,0.7917476885893237
multi_teacher_fixed,0,5.0,0.8398672846118952
multi_teacher_fixed,0,6.0,0.8177056148193499
multi_teacher_fixed,0,7.0,0.8482189466911072
multi_teacher_fixed,1,1.0,2.002010771540723
multi_teacher_fixed,1,2.0,1.1461551707966067
multi_teacher_fixed,1,3.0,0.9275461859449666
multi_teacher_fixed,1,4.0,0.8060921090665348
multi_teacher_fixed,1,5.0,0.8034696423016063
multi_teacher_fixed,1,6.0,0.81452619359821
multi_teacher_fixed,1,7.0,0.8122511862009131
multi_teacher_fixed,1,8.0,0.8303855920151776
multi_teacher_fixed,2,1.0,2.0958605585021224
multi_teacher_fixed,2,2.0,1.0802000589665355
multi_teacher_fixed,2,3.0,0.8588913509994512
multi_teacher_fixed,2,4.0,0.7852317239115404
multi_teacher_fixed,2,5.0,0.8427830014276904
multi_teacher_fixed,2,6.0,0.8125762660059097
multi_teacher_fixed,2,7.0,0.8278141427059356
arcd,0,1.0,2.0169263507760493
arcd,0,2.0,1.1455904771100982
arcd,0,3.0,0.9394802218872564
arcd,0,4.0,0.7817539232247241
arcd,0,5.0,0.7859293126208634
arcd,0,6.0,0.8033376630110376
arcd,0,7.0,0.7464462062204476
arcd,0,8.0,0.7888927561039019
arcd,0,9.0,0.794665062449375
arcd,0,10.0,0.7640891384014246
arcd,1,1.0,2.025391638458875
arcd,1,2.0,1.177174498897493
arcd,1,3.0,0.9050525909161264
arcd,1,4.0,0.7776308159936317
arcd,1,5.0,0.7905889245364793
arcd,1,6.0,0.8063959934781234
arcd,1,7.0,0.7939424247480902
arcd,2,1.0,2.0313685975386595
arcd,2,2.0,1.1532677907609548
arcd,2,3.0,0.927595287944974
arcd,2,4.0,0.7912999944729484
arcd,2,5.0,0.8202688536095344
arcd,2,6.0,0.8322807554128573
arcd,2,7.0,0.7795112059724139
arcd,2,8.0,0.838225255036174
arcd,2,9.0,0.8083210901775547
arcd,2,10.0,0.7621400888622528
arcd,2,11.0,0.7819236066175599
arcd,2,12.0,0.8194461268220755
arcd,2,13.0,0.8192190904006172
arcd_diverse,0,1.0,1.945055596564086
arcd_diverse,0,2.0,1.0941631425592322
arcd_diverse,0,3.0,0.9078130410652111
arcd_diverse,0,4.0,0.7714531481467622
arcd_diverse,0,5.0,0.7872254706412991
arcd_diverse,0,6.0,0.7783159985790635
arcd_diverse,0,7.0,0.7363447632429612
arcd_diverse,0,8.0,0.7318994704489383
arcd_diverse,0,9.0,0.722565842053438
arcd_diverse,0,10.0,0.7449475912230159
arcd_diverse,0,11.0,0.7396304021722184
arcd_diverse,0,12.0,0.7419027308038535
arcd_diverse,1,1.0,1.9577429008132698
arcd_diverse,1,2.0,1.0920109901998196
arcd_diverse,1,3.0,0.8224911318871968
arcd_diverse,1,4.0,0.7719358165898131
arcd_diverse,1,5.0,0.8021857043167279
arcd_diverse,1,6.0,0.8043309093686608
arcd_diverse,1,7.0,0.7726803659353189
arcd_diverse,2,1.0,1.9072692658502584
arcd_diverse,2,2.0,1.0880531888989973
arcd_diverse,2,3.0,0.858351576857691
arcd_diverse,2,4.0,0.758439164752702
arcd_diverse,2,5.0,0.817518823138854
arcd_diverse,2,6.0,0.7860722118480483
arcd_diverse,2,7.0,0.8218948200845019
